名称,名称（基本）,所在地,緯度,経度,標高 (m),津波発生時,耐震性,対応している災害,対応していない災害,欲しいもの,足りているもの,困っていること,その他連絡事項,福祉,状況,避難所の種類,避難所の種類・状況,開設日時,閉鎖日時,避難者数,避難者数のカウント日時,出典,不明点,確認日時,編集者
（閉鎖・拠点）サンライフ熊本,サンライフ熊本,熊本県 熊本市中央区 黒髪 3丁目3-12,32.819815,130.720178,11.79499912,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,中央区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖・拠点）熊本市男女共同参画センター（はあもにい）,熊本市男女共同参画センター（はあもにい）,熊本県 熊本市中央区 黒髪 3丁目3-10,32.81938,130.719903,11.76453686,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,中央区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖・拠点）大江出張所（大江公民館）,大江出張所（大江公民館）,熊本県 熊本市中央区 大江 6丁目1-85,32.798865,130.725116,14.11983204,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,中央区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖・拠点）五福公民館,五福公民館,熊本県 熊本市中央区 細工町 2丁目25,32.795809,130.6956674,13.36130524,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,中央区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖・拠点）子ども文化会館,子ども文化会館,熊本県 熊本市中央区 新町 1丁目3-11,32.804637,130.69834,20.16953468,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,中央区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖・拠点）熊本市総合体育館・青年会館,熊本市総合体育館・青年会館,熊本県 熊本市中央区 出水 2丁目7-1,32.7851171,130.7366073,15.70920753,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,東区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖・拠点）秋津出張所（秋津公民館）,秋津出張所（秋津公民館）,熊本県 熊本市東区 秋津 3丁目15-1,32.7712018,130.773298,6.7996068,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,東区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖・拠点）託麻総合出張所（託麻公民館）,託麻総合出張所（託麻公民館）,熊本県 熊本市東区 長嶺東 7丁目11-15,32.827962,130.779211,68.96950531,安全,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,東区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖・拠点）東部在宅福祉センター,東部在宅福祉センター,熊本県 熊本市東区 健軍本町 31-20,32.786488,130.759586,25.23345947,注意,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,東区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖・拠点）東部はつらつ交流会館,東部はつらつ交流会館,熊本県 熊本市東区 秋津 3丁目17-23,32.772604,130.775501,7.064304352,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,東区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
（閉鎖・拠点）西部公民館,西部公民館,熊本県 熊本市西区 小島 2丁目7-1,32.7763353,130.6475193,0.242547199,危険,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,西区役所が担当,,閉鎖・拠点,,閉鎖・拠点,,,満員,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-07-10 22:29 +0900,藤田 周
