名称（基本）,名称,緯度,経度,標高 (m),所在地,津波発生時,耐震性,対応している災害,対応していない災害,欲しいもの,足りているもの,困っていること,その他連絡事項,福祉,状況,避難所の種類,状況・避難所の種類（グループ分け用）,開設日時,閉鎖日時,避難者数,避難者数のカウント日時,出典,不明点,更新日時,編集者
大江小学校,（開設中）大江小学校,32.8019759,130.7257147,,熊本県 熊本市中央区 大江 3丁目5-31,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
白川中学校,（開設中）白川中学校,32.8012537,130.7254175,,熊本県 熊本市中央区 大江 3丁目,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
熊本学園大学,（開設中）熊本学園大学,32.8043007,130.7296201,,熊本県 熊本市中央区 大江 2丁目5-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
白川小学校,（開設中）白川小学校,32.8026773,130.7168472,,熊本県 熊本市中央区 新屋敷 1丁目7-13,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
熊本大学医学部（本荘体育館）,（開設中）熊本大学医学部（本荘体育館）,32.7926432,130.7144408,,熊本県 熊本市中央区 九品寺 4丁目24-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
城東小学校,（開設中）城東小学校,32.8083466,130.7093215,,熊本県 熊本市中央区 千葉城町 5-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
江南中学校,（開設中）江南中学校,32.7875932,130.6990479,,熊本県 熊本市中央区 本山町 75,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
本荘小学校,（開設中）本荘小学校,32.792668,130.7081942,,熊本県 熊本市中央区 本荘 6丁目5-47,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
大江出張所,（開設中）大江出張所,32.798865,130.725116,,熊本県 熊本市中央区 大江 6丁目1-85,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
黒髪小学校,（開設中）黒髪小学校,32.8147858,130.7201011,,熊本県 熊本市中央区 黒髪 2丁目2-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
桜山中学校,（開設中）桜山中学校,32.8163885,130.7318895,,熊本県 熊本市中央区 黒髪 5丁目13-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
竜南中学校,（開設中）竜南中学校,32.8178688,130.7150847,,熊本県 熊本市中央区 坪井 4丁目16-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
市立必由館高校,（開設中）市立必由館高校,32.8158605,130.71401,,熊本県 熊本市中央区 坪井 4丁目15-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
熊本大学（黒髪体育館）,（開設中）熊本大学（黒髪体育館）,32.815535,130.725179,,熊本県 熊本市中央区 黒髪 2丁目40,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
済々黌高校,（開設中）済々黌高校,32.8177134,130.7230787,,熊本県 熊本市中央区 黒髪 2丁目22-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
碩台小学校,（開設中）碩台小学校,32.8091196,130.7184568,,熊本県 熊本市中央区 井川淵町 4-8,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
壷川小学校,（開設中）壷川小学校,32.8131482,130.7096384,,熊本県 熊本市中央区 壺川 1丁目4-5,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
京稜中学校,（開設中）京稜中学校,32.8172684,130.7046886,,熊本県 熊本市中央区 京町本丁 1-14,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
一新小学校,（開設中）一新小学校,32.8024389,130.6951256,,熊本県 熊本市中央区 新町 3丁目10-45,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
西山中学校,（開設中）西山中学校,32.8035193,130.6927536,,熊本県 熊本市中央区 島崎 1丁目27-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
五福小学校,（開設中）五福小学校,32.795809,130.6956674,,熊本県 熊本市中央区 細工町 2-25,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
慶徳小学校,（開設中）慶徳小学校,32.7970507,130.7016891,,熊本県 熊本市中央区 山崎町 72,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
春竹小学校,（開設中）春竹小学校,32.7882322,130.7073805,,熊本県 熊本市中央区 琴平 1丁目9-43,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
江原中学校,（開設中）江原中学校,32.7841893,130.7053404,,熊本県 熊本市中央区 琴平 2丁目9-59,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
熊本市総合体育館・青年会館,（開設中）熊本市総合体育館・青年会館,32.7851171,130.7366073,,熊本県 熊本市中央区 出水 2-7-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
熊本商業高校,（開設中）熊本商業高校,32.786556,130.740217,,熊本県 熊本市中央区 神水 1丁目1-2,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
砂取小学校,（開設中）砂取小学校,32.7872406,130.7387848,,熊本県 熊本市中央区 神水 1丁目1-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
熊本工業高校,（開設中）熊本工業高校,32.7924041,130.7474546,,熊本県 熊本市中央区 上京塚町 5-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
帯山小学校,（開設中）帯山小学校,32.8019304,130.7498693,,熊本県 熊本市中央区 帯山 4丁目11-11,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
帯山西小学校,（開設中）帯山西小学校,32.802162,130.741142,,熊本県 熊本市中央区 帯山 1丁目29-8,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
帯山中学校,（開設中）帯山中学校,32.8012426,130.7449197,,熊本県 熊本市中央区 帯山 1丁目35-32,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
託麻原小学校,（開設中）託麻原小学校,32.80389,130.7359738,,熊本県 熊本市中央区 渡鹿 2丁目3-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
白山小学校,（開設中）白山小学校,32.7900074,130.719646,,熊本県 熊本市中央区 菅原町 9-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
出水小学校,（開設中）出水小学校,32.7890187,130.7312026,,熊本県 熊本市中央区 出水 1丁目1-75,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
出水南小学校,（開設中）出水南小学校,32.7832831,130.7306511,,熊本県 熊本市中央区 出水 4丁目1-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
出水中学校,（開設中）出水中学校,32.7832776,130.7265569,,熊本県 熊本市中央区 出水 5丁目3-1,,不明,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,（まだ入力されていません）,,開設中,,開設中,,,,,http://www.city.kumamoto.jp/hpkiji/pub/detail.aspx?c_id=5&type=top&id=12495,,2016-04-30 03:09:30 +0900,藤田
