名称,住所,営業状況,休業日,営業時間,URL,メモ,日付,都道府県,市区町村,市区町村以下
祥風苑,大阪府 高槻市 塚脇 4-20-3,1 通常営業,無休,10:00-24:00,http://www.syofuen.co.jp/,,,大阪府,高槻市,塚脇 4-20-3
天神の湯,大阪府 高槻市 高槻町 16-5,3 営業休止/再開見込みなし,不定（6/19 臨時休業）,10:00-24:00,http://www.workhotel.jp/annex/news/#1529385910,,,大阪府,高槻市,高槻町 16-5
高槻新温泉,大阪府 高槻市 北園町1-18,1 通常営業,第2.3.4火曜,15:30-23:30,,【電話にて19日当日の状況確認のみ】正確で無い可能性があります,,大阪府,高槻市,北園町1-18
生駒湯,大阪府 高槻市 永楽町 7-8,2 営業予定,第1.3月曜,16:00-24:00,,【電話にて19日当日の状況確認のみ】正確で無い可能性があります,,大阪府,高槻市,永楽町 7-8
錦温泉,大阪府 高槻市 上田辺町 3-30,1 通常営業,第1.3水曜,15:30-23:30,,【電話にて19日当日の状況確認のみ】正確で無い可能性があります,,大阪府,高槻市,上田辺町 3-30
ひかり温泉,大阪府 高槻市 春日町 1-62,3 営業休止/再開見込みなし,第2.4火曜,16:00-23:30,http://osaka268.com/osakasentou/%E3%81%B2%E3%81%8B%E3%82%8A%E6%B8%A9%E6%B3%89%EF%BC%88%E9%AB%98%E6%A7%BB%E5%B8%82%EF%BC%89/,【電話にて19日当日の状況確認のみ】正確で無い可能性があります,,大阪府,高槻市,春日町 1-62
百万石温泉,大阪府 高槻市 芝生町 2-9-1,4 不明,不定,15:00-24:00,,【電話にて19日当日の状況確認のみ】正確で無い可能性があります,,大阪府,高槻市,芝生町 2-9-1
湯の華温泉,大阪府 高槻市 栄町 2-21-1,1 通常営業,不定,15:00-24:00,,【電話にて19日当日の状況確認のみ】正確で無い可能性があります,,大阪府,高槻市,栄町 2-21-1
摂津温泉,大阪府 高槻市 寿町 1-2-22,3 営業休止/再開見込みなし,不定,15:00-24:00,,【電話にて19日当日の状況確認のみ】正確で無い可能性があります,,大阪府,高槻市,寿町 1-2-22
あるごの湯,大阪府 豊中市 神州町 1-15,1 通常営業,無休,10:00-26:00,http://www.algo7.jp/spa/,,,大阪府,豊中市,神州町 1-15
夢の公衆浴場　五色,大阪府 豊中市 庄内栄町 3-24-10,1 通常営業,無休,24時間,,【電話にて19日当日の状況確認のみ】正確で無い可能性があります,,大阪府,豊中市,庄内栄町 3-24-10
七福温泉,大阪府 豊中市 大黒町 3-3-3,1 通常営業,水曜,15:00-25:00,,【電話にて19日当日の状況確認のみ】正確で無い可能性があります,,大阪府,豊中市,大黒町 3-3-3
神洲温泉,大阪府 豊中市 大島町 2-20-1,4 不明,土曜,15:00-23:30,,【電話にて19日当日の状況確認のみ】正確で無い可能性があります,,大阪府,豊中市,大島町 2-20-1
長島温泉,大阪府 豊中市 豊南町南 2-2-3,1 通常営業,金曜,15:00-24:00,,【電話にて19日当日の状況確認のみ】正確で無い可能性があります,,大阪府,豊中市,豊南町南 2-2-3
温泉七福,大阪府 豊中市 豊南町西 3-1-11,1 通常営業,月曜,14:30-26:00,,【電話にて19日当日の状況確認のみ】正確で無い可能性があります,,大阪府,豊中市,豊南町西 3-1-11
