名称,所在地,記事,出典,最終確認日時,都道府県,市区町村,市区町村以下
第七中学校,大阪府高槻市西面北１丁目４５−１,開設,http://www.city.takatsuki.osaka.jp/m/kinkyusaigai/1529280840065.html,,大阪府,高槻市,西面北１丁目４５−１
第八中学校,大阪府高槻市紅茸町５−１,開設,http://www.city.takatsuki.osaka.jp/m/kinkyusaigai/1529280840065.html,,大阪府,高槻市,紅茸町５−１
第九中学校,大阪府高槻市松が丘１丁目１７−１,開設,http://www.city.takatsuki.osaka.jp/m/kinkyusaigai/1529280840065.html,,大阪府,高槻市,松が丘１丁目１７−１
津之江小学校,大阪府高槻市津之江北町７−１,開設,http://www.city.takatsuki.osaka.jp/m/kinkyusaigai/1529280840065.html,,大阪府,高槻市,津之江北町７−１
西大冠小学校,大阪府高槻市城南町３丁目１−１,閉鎖/終了,http://www.city.takatsuki.osaka.jp/m/kinkyusaigai/1529280840065.html,,大阪府,高槻市,城南町３丁目１−１
竹の内小学校,大阪府高槻市竹の内町６０−１,開設,http://www.city.takatsuki.osaka.jp/m/kinkyusaigai/1529280840065.html,,大阪府,高槻市,竹の内町６０−１
上牧小学校,大阪府高槻市上牧町４丁目２２−１,開設,http://www.city.takatsuki.osaka.jp/m/kinkyusaigai/1529280840065.html,,大阪府,高槻市,上牧町４丁目２２−１
奥坂小学校,大阪府高槻市別所本町３５−５,開設,http://www.city.takatsuki.osaka.jp/m/kinkyusaigai/1529280840065.html,,大阪府,高槻市,別所本町３５−５
冠中学校,大阪府高槻市大冠町２丁目２４−１,開設,http://www.city.takatsuki.osaka.jp/m/kinkyusaigai/1529280840065.html,,大阪府,高槻市,大冠町２丁目２４−１
五領中学校,大阪府高槻市道鵜町３丁目２０−１,開設,http://www.city.takatsuki.osaka.jp/m/kinkyusaigai/1529280840065.html,,大阪府,高槻市,道鵜町３丁目２０−１
五領小学校,大阪府高槻市五領町１２−１,開設,http://www.city.takatsuki.osaka.jp/m/kinkyusaigai/1529280840065.html,,大阪府,高槻市,五領町１２−１
柱本小学校,大阪府高槻市柱本新町１０−８,開設,http://www.city.takatsuki.osaka.jp/m/kinkyusaigai/1529280840065.html,,大阪府,高槻市,柱本新町１０−８
三箇牧小学校,大阪府高槻市三島江１丁目１３−６,開設,http://www.city.takatsuki.osaka.jp/m/kinkyusaigai/1529280840065.html,,大阪府,高槻市,三島江１丁目１３−６
松原小学校,大阪府高槻市沢良木町１８−１,開設,http://www.city.takatsuki.osaka.jp/m/kinkyusaigai/1529280840065.html,,大阪府,高槻市,沢良木町１８−１
北大冠小学校,大阪府高槻市宮野町１０−５,閉鎖/終了,http://www.city.takatsuki.osaka.jp/m/kinkyusaigai/1529280840065.html,,大阪府,高槻市,宮野町１０−５
磐手小学校,大阪府高槻市安満西の町２７−１,開設,http://www.city.takatsuki.osaka.jp/m/kinkyusaigai/1529280840065.html,,大阪府,高槻市,安満西の町２７−１
第六中学校,大阪府高槻市永楽町１０−３,開設,http://www.city.takatsuki.osaka.jp/m/kinkyusaigai/1529280840065.html,,大阪府,高槻市,永楽町１０−３
