名称,所在地,ステータス,マッピングに関する特記事項,日付,開設時間,給水に関する特記事項,出典,出典に関する特記事項,都道府県,市区町村,市区町村以下,緯度,経度,出典最終確認日時,確認担当者
JA呉三高支店,広島県 江田島市 沖美町三吉 2618-2,閉鎖,,,,,"http://www.city.etajima.hiroshima.jp/cms/articles/show/5607
http://www.mod.go.jp/j/approach/defense/saigai/h30_ooame/index.html",,広島県,江田島市,沖美町三吉 2618-2,34.2582020,132.4061000,2018-08-10 0:12:20,藤田 周
沖美ふれあいセンター,広島県 江田島市 沖美町美能 833-5,閉鎖,,,,,"http://www.city.etajima.hiroshima.jp/cms/articles/show/5607
http://www.mod.go.jp/j/approach/defense/saigai/h30_ooame/index.html",,広島県,江田島市,沖美町美能 833-5,34.2566130,132.3829190,2018-08-10 0:12:20,藤田 周
関西美人酒造跡地（三吉）,広島県 江田島市 沖美町三吉 2118-1,閉鎖,,,,,"http://www.city.etajima.hiroshima.jp/cms/articles/show/5607
http://www.mod.go.jp/j/approach/defense/saigai/h30_ooame/index.html",,広島県,江田島市,沖美町三吉 2118-1,34.2516840,132.4065630,2018-08-10 0:12:20,藤田 周
高祖多目的集会所,広島県 江田島市 沖美町高祖 146-1,閉鎖,,,,,"http://www.city.etajima.hiroshima.jp/cms/articles/show/5607
http://www.mod.go.jp/j/approach/defense/saigai/h30_ooame/index.html",,広島県,江田島市,沖美町高祖 146-1,34.2596030,132.3988240,2018-08-10 0:12:20,藤田 周
美能漁業協同組合前,広島県 江田島市 沖美町美能 1010,閉鎖,,,,,"http://www.city.etajima.hiroshima.jp/cms/articles/show/5607
http://www.mod.go.jp/j/approach/defense/saigai/h30_ooame/index.html",,広島県,江田島市,沖美町美能 1010,34.2535060,132.3803220,2018-08-10 0:12:20,藤田 周
沖美市民センター,広島県 江田島市 沖美町畑 995,閉鎖,,,,,http://www.city.etajima.hiroshima.jp/cms/articles/show/5607,,広島県,江田島市,沖美町畑 995,34.2095730,132.4050500,2018-08-10 0:12:20,藤田 周
JA呉沖支店前,広島県 江田島市 沖美町岡大王 554-3,閉鎖,,,,,http://www.city.etajima.hiroshima.jp/cms/articles/show/5607,,広島県,江田島市,沖美町岡大王 554-3,34.2038950,132.4096570,2018-08-10 0:12:20,藤田 周
JA呉是長ふれあい店前,広島県 江田島市 沖美町是長 804,閉鎖,,,,,http://www.city.etajima.hiroshima.jp/cms/articles/show/5607,,広島県,江田島市,沖美町是長 804,34.2160050,132.3957530,2018-08-10 0:12:20,藤田 周
旧西中商店駐車場,広島県 江田島市 【地区名以下不明】,閉鎖,,,,,http://www.city.etajima.hiroshima.jp/cms/articles/show/5607,,広島県,江田島市,【地区名以下不明】,,,2018-08-10 0:12:20,藤田 周
第1術科学校構内,広島県 江田島市 江田島町国有無番地,閉鎖,,,,,http://www.city.etajima.hiroshima.jp/cms/articles/show/5607,,広島県,江田島市,江田島町国有無番地,34.2451770,132.4738440,2018-08-10 0:12:20,藤田 周
宮ノ原交流プラザ,広島県 江田島市 江田島町宮ノ原 2丁目21-1,閉鎖,,,,,http://www.city.etajima.hiroshima.jp/cms/articles/show/5607,,広島県,江田島市,江田島町宮ノ原 2丁目21-1,34.2530310,132.4608630,2018-08-10 0:12:20,藤田 周
小用みなと公園,広島県 江田島市 江田島町小用 2-1,閉鎖,,,,,http://www.city.etajima.hiroshima.jp/cms/articles/show/5607,,広島県,江田島市,江田島町小用 2-1,34.2494130,132.4930090,2018-08-10 0:12:20,藤田 周
海上自衛隊鷲部官舎駐車場,広島県 江田島市 江田島町鷲部 2丁目2,閉鎖,江田島町鷲部の「海上自衛隊江ノ口特借宿舎」にマッピング,,,,http://www.city.etajima.hiroshima.jp/cms/articles/show/5607,,広島県,江田島市,江田島町鷲部 2丁目2,34.2340410,132.4777400,2018-08-10 0:12:20,藤田 周
能美市民センター,広島県 江田島市 能美町中町 4859-9,閉鎖,,,,,http://www.city.etajima.hiroshima.jp/cms/articles/show/5607,,広島県,江田島市,能美町中町 4859-9,34.2229563,132.4426572,2018-08-10 0:12:20,藤田 周
