#,施設名,ステータス（表示用）,ステータス,キャリア,所在地,緯度,経度,マッピング上の特記事項,提供サービス,開設時間,定休日,対象者,利用に関する特記事項,出典,出典確認日時,都道府県,市区町村,地名以下
1,ドコモショップ厚別西店,通常営業（ドコモ）,通常営業,ドコモ,北海道 札幌市厚別区 厚別西2条5丁目3-13,43.0508643,141.4705862,,充電,10:00 - 19:00,第3水曜,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,札幌市厚別区,厚別西2条5丁目3-13
2,ドコモショップキャポ大谷地店,通常営業（ドコモ）,通常営業,ドコモ,北海道 札幌市厚別区 大谷地東3丁目3-20,43.0262056,141.4540138,,充電,10:00 - 20:00,無休,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,札幌市厚別区,大谷地東3丁目3-20
3,ドコモショップ新札幌店,通常営業（ドコモ）,通常営業,ドコモ,北海道 札幌市厚別区 厚別中央2条5丁目2-30 新札幌ジェムシティ1F,43.0386813,141.470476,,充電,10:00 - 19:00,第2木曜,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,札幌市厚別区,厚別中央2条5丁目2-30 新札幌ジェムシティ1F
4,ドコモショップあいの里店,通常営業（ドコモ）,通常営業,ドコモ,北海道 札幌市北区 あいの里1条5-1-10,43.1556552,141.3974474,,充電,10:00 - 20:00（土曜・日曜・祝日は10:00 - 19:00）,第2木曜,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,札幌市北区,あいの里1条5-1-10
5,ドコモショップ麻生店,通常営業（ドコモ）,通常営業,ドコモ,北海道 札幌市北区 麻生町4丁目12-13 Sato BLD. 1F,43.111292,141.33873,,充電,10:00 - 19:00,第2水曜,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,札幌市北区,麻生町4丁目12-13 Sato BLD. 1F
6,ドコモショップ札幌北大通り店,通常営業（ドコモ）,通常営業,ドコモ,北海道 札幌市北区 北21条西4丁目2-28,43.0869425,141.3441591,,充電,10:00 - 19:00,第2木曜,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,札幌市北区,北21条西4丁目2-28
7,ドコモショップ篠路店,通常営業（ドコモ）,通常営業,ドコモ,北海道 札幌市北区 篠路3条4丁目1-1,43.144535,141.3575655,,充電,10:00 - 19:00,第3火曜,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,札幌市北区,篠路3条4丁目1-1
8,ドコモショップ新琴似店,通常営業（ドコモ）,通常営業,ドコモ,北海道 札幌市北区 新琴似7条10丁目4-20,43.1180904,141.3207227,,充電,10:00 - 19:00,第3水曜,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,札幌市北区,新琴似7条10丁目4-20
9,ドコモショップ屯田店,通常営業（ドコモ）,通常営業,ドコモ,北海道 札幌市北区 屯田8条2-8-3,43.1402352,141.3433167,,充電,10:00 - 19:00,第2木曜,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,札幌市北区,屯田8条2-8-3
10,ドコモショップ美しが丘店,通常営業（ドコモ）,通常営業,ドコモ,北海道 札幌市清田区 美しが丘3条5丁目9-1,42.9813214,141.4533584,,充電,10:00 - 19:00,第3木曜,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,札幌市清田区,美しが丘3条5丁目9-1
11,ドコモショップ清田店,通常営業（ドコモ）,通常営業,ドコモ,北海道 札幌市清田区 清田2条1-3-25 第2晃和ビル 1階,43.0053837,141.4305214,,充電,10:00 - 19:00,第2木曜,,,https://www.nttdocomo.co.jp/info/notice/hokkaido/pages/180906_1_d.html,2018-09-14 3:15:40,北海道,札幌市清田区,清田2条1-3-25 第2晃和ビル 1階
