#1,#2,名称,所在地,ステータス,マッピングに関する特記事項,日付,開設時間,充電に関する特記事項,出典,市町村コード,都道府県,市区町村,市区町村以下,緯度・経度,出典最終確認日時,出典確認担当者
1,1,銚子市役所 2階 危機管理室,千葉県 銚子市 若宮町 1-1,閉鎖,,,,,http://www.city.choshi.chiba.jp/osirase/2019/2019-0909-taihu15.html,122025,千葉県,銚子市,若宮町 1-1,"35.734772, 140.826745",2019-09-23 21:05:25,藤田 周
2,2,館山市役所 本館ロビー,千葉県 館山市 北条 1145-1,開設,,2019-09-24,8:30 - 17:15,,https://www.city.tateyama.chiba.jp/jouhou/page100180.html,122050,千葉県,館山市,北条 1145-1,"34.9965623,139.8699153",2019-09-23 21:05:30,藤田 周
18,3,渚の博物館 休憩室,千葉県 館山市 館山 1564-1,開設,,2019-09-24,9:00 - 16:45,,https://www.city.tateyama.chiba.jp/jouhou/page100180.html,122050,千葉県,館山市,館山 1564-1,"34.9896318,139.8547987",2019-09-23 21:05:30,藤田 周
3,4,コミュニティセンター,千葉県 館山市 北条 740-1,開設,,2019-09-24,8:30 - 17:00,,https://www.city.tateyama.chiba.jp/jouhou/page100180.html,122050,千葉県,館山市,北条 740-1,"34.989238, 139.873846",2019-09-23 21:05:30,藤田 周
4,5,館山市図書館,千葉県 館山市 北条 1740,開設,,2019-09-24,9:00 - 17:00,,https://www.city.tateyama.chiba.jp/jouhou/page100180.html,122050,千葉県,館山市,北条 1740,"34.9940235,139.8666957",2019-09-23 21:05:30,藤田 周
5,6,館山市立博物館,千葉県 館山市 館山 351-2,開設,,2019-09-24,8:30 - 17:00,,https://www.city.tateyama.chiba.jp/jouhou/page100180.html,122050,千葉県,館山市,館山 351-2,"34.9824345,139.8544468",2019-09-23 21:05:30,藤田 周
13,7,旧富崎小学校,千葉県 館山市 相浜 282-1,開設,,2019-09-24,好天時の日中のみ（無人・ソーラー発電のため）,,https://www.city.tateyama.chiba.jp/jouhou/page100180.html,122050,千葉県,館山市,相浜 282-1,"34.9216334,139.8265528",2019-09-23 21:05:30,藤田 周
15,8,東京都立墨田川高校 楽水寮,千葉県 館山市 浜田 160,開設,,2019-09-24,10:00 - 19:00,,https://www.city.tateyama.chiba.jp/jouhou/page100180.html,122050,千葉県,館山市,浜田 160,"34.975433,139.803924",2019-09-23 21:05:30,藤田 周
16,9,三越 館山店,千葉県 館山市 北条 1854-2,休止,,2019-09-24,"10:00 - 17:00
火曜定休",,https://www.city.tateyama.chiba.jp/jouhou/page100180.html,122050,千葉県,館山市,北条 1854-2,"34.9948667,139.8625127",2019-09-23 21:05:30,藤田 周
17,10,トータルボディケア J-1,千葉県 館山市 山本 1208-1,開設,,2019-09-24,10:00 - 22:00,,https://www.city.tateyama.chiba.jp/jouhou/page100180.html,122050,千葉県,館山市,山本 1208-1,"34.9990503,139.8939087",2019-09-23 21:05:30,藤田 周
9,11,船形地区公民館,千葉県 館山市 船形 405-2,閉鎖,,,,,https://www.city.tateyama.chiba.jp/jouhou/page100180.html,122050,千葉県,館山市,船形 405-2,"35.02789,139.848133",2019-09-23 21:05:30,藤田 周
10,12,那古地区公民館,千葉県 館山市 那古 1125-1,閉鎖,,,,,https://www.city.tateyama.chiba.jp/jouhou/page100180.html,122050,千葉県,館山市,那古 1125-1,"35.0243151,139.8603985",2019-09-23 21:05:30,藤田 周
11,13,西岬地区公民館（本館）,千葉県 館山市 見物 65,閉鎖,,,,,https://www.city.tateyama.chiba.jp/jouhou/page100180.html,122050,千葉県,館山市,見物 65,"34.9727828,139.7993917",2019-09-23 21:05:30,藤田 周
12,14,西岬地区公民館（分館）,千葉県 館山市 伊戸 2503,閉鎖,,,,,https://www.city.tateyama.chiba.jp/jouhou/page100180.html,122050,千葉県,館山市,伊戸 2503,"34.958751,139.78832",2019-09-23 21:05:30,藤田 周
6,15,安房合同庁舎,千葉県 館山市 北条 402-1,閉鎖,,,,,https://www.city.tateyama.chiba.jp/jouhou/page100180.html,122050,千葉県,館山市,北条 402-1,"34.994873,139.871715",2019-09-23 21:05:30,藤田 周
7,16,安房保健所,千葉県 館山市 北条 1093-1,閉鎖,,,,,https://www.city.tateyama.chiba.jp/jouhou/page100180.html,122050,千葉県,館山市,北条 1093-1,"34.994656,139.870607",2019-09-23 21:05:30,藤田 周
14,17,館山病院,千葉県 館山市 長須賀 196,閉鎖,,,,,https://www.city.tateyama.chiba.jp/jouhou/page100180.html,122050,千葉県,館山市,長須賀 196,"34.983771,139.86261",2019-09-23 21:05:30,藤田 周
8,18,海上自衛隊館山航空基地,千葉県 館山市 宮城 無番地,閉鎖,,,,,https://www.city.tateyama.chiba.jp/jouhou/page100180.html,122050,千葉県,館山市,宮城 無番地,"34.9871247,139.8343072",2019-09-23 21:05:30,藤田 周
19,19,館山リゾートホテル,千葉県 館山市 小沼 352,閉鎖,,,,,https://www.city.tateyama.chiba.jp/jouhou/page100180.html,122050,千葉県,館山市,小沼 352,"34.954196,139.791537",2019-09-23 21:05:30,藤田 周
29,20,木更津市 清見台公民館,千葉県 木更津市 清見台南 5-1-29,開設,,2019-09-24,8:30 - 21:30,,https://www.city.kisarazu.lg.jp/,122068,千葉県,木更津市,清見台南 5-1-29,"35.379933, 139.959551",2019-09-23 21:06:40,藤田 周
26,21,木更津市 文京公民館,千葉県 木更津市 文京 2丁目6-54,開設,,2019-09-24,8:30 - 21:30,,https://www.city.kisarazu.lg.jp/,122068,千葉県,木更津市,文京 2丁目6-54,"35.377104, 139.928327",2019-09-23 21:06:40,藤田 周
21,22,木更津市 富来田公民館,千葉県 木更津市 真里谷 110,開設,,2019-09-24,8:30 - 21:30,,https://www.city.kisarazu.lg.jp/,122068,千葉県,木更津市,真里谷 110,"35.366980, 140.060479",2019-09-23 21:06:40,藤田 周
