#,名称,運営会社等,ブランド,給油所名,所在地,種類,ステータス,マッピングに関する特記事項,出典,都道府県,市区町村,市区町村以下,電話番号,緯度・経度,出典最終確認日時,出典確認担当者
1,ecco 八街給油所（有限会社斎藤精米所）,有限会社斎藤精米所,ecco,八街給油所,千葉県 八街市 富山 47,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,八街市,富山 47,043-443-2303,"35.671043, 140.299636",2019-09-13 18:18:29,藤田 周
2,昭和シェル石油 八街給油所（有限会社宮商）,有限会社宮商,昭和シェル石油,八街給油所,千葉県 八街市 八街に 62,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,八街市,八街に 62,043-443-1717,"35.662730, 140.327918",2019-09-13 18:18:29,藤田 周
3,ENEOS 長狭北給油所（アウル鉱油有限会社）,アウル鉱油有限会社,ENEOS,長狭北給油所,千葉県 鴨川市 北風原 877-123,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,鴨川市,北風原 877-123,04-7097-1201,"35.135253, 140.002368",2019-09-13 18:18:29,藤田 周
4,ENEOS 鴨川打墨給油所（アウル鉱油有限会社）,アウル鉱油有限会社,ENEOS,鴨川打墨給油所,千葉県 鴨川市 打墨 845-1-3,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,鴨川市,打墨 845-1-3,04-7092-0147,"35.126715, 140.079967",2019-09-13 18:18:29,藤田 周
5,ENEOS Dr.Drive セルフ鴨川店給油所（日石レオン株式会社）,日石レオン株式会社,ENEOS,Dr.Drive セルフ鴨川店給油所,千葉県 鴨川市 横渚 1102-1,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,鴨川市,横渚 1102-1,04-7093-4120,"35.108613, 140.101264",2019-09-13 18:18:29,藤田 周
6,JA NACS酒々井給油所（成田市農業協同組合）,成田市農業協同組合,JA,NACS酒々井給油所,千葉県 印旛郡 酒々井町 中川字埜原谷津 104-2,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,印旛郡 酒々井町,中川字埜原谷津 104-2,043-496-2036,"35.735939, 140.273260",2019-09-13 18:18:29,藤田 周
7,久留里給油所（有限会社木村屋金物店）,有限会社木村屋金物店,,久留里給油所,千葉県 君津市 久留里市場 515,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,君津市,久留里市場 515,0439-27-3168,"35.297346, 140.075923",2019-09-13 18:18:29,藤田 周
8,ENEOS 君津給油所（有限会社三津和石油）,有限会社三津和石油,ENEOS,君津給油所,"千葉県 君津市 人見 1040-1, 1054",住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,君津市,"人見 1040-1, 1054",0439-52-0822,"35.343407, 139.868856",2019-09-13 18:18:29,藤田 周
9,出光 スーパーセルフ新日鐵前給油所（株式会社東日本エネルギー）,株式会社東日本エネルギー,出光,スーパーセルフ新日鐵前給油所,千葉県 君津市 坂田字浜大津 673-6,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,君津市,坂田字浜大津 673-6,0439-52-2523,"35.344802, 139.881602",2019-09-13 18:18:29,藤田 周
10,出光 スーパーセルフ陽光台給油所（株式会社東日本エネルギー）,株式会社東日本エネルギー,出光,スーパーセルフ陽光台給油所,千葉県 君津市 陽光台 3-2-5,住民拠点サービスステーション,不明,,https://www.meti.go.jp/press/2019/09/20190912006/20190912006.html,千葉県,君津市,陽光台 3-2-5,0439-57-1511,"35.338300, 139.906318",2019-09-13 18:18:29,藤田 周
