#1,#2,名称,所在地,ステータス,マッピングに関する特記事項,日付,開設時間,給水に関する特記事項,出典,市町村コード,都道府県,市区町村,市区町村以下,緯度・経度,出典最終確認日時,出典確認担当者
7,1,生浜公民館,千葉県 千葉市 中央区 生実町 67-1,開設,,2019-09-20,9:00 - 21:00,ポリタンク等の容器への提供,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121011,千葉県,千葉市 中央区,生実町 67-1,"35.559684, 140.141810",2019-09-20 13:40:43,藤田 周
8,2,宮崎公民館,千葉県 千葉市 中央区 宮崎 2丁目5-22,開設,,2019-09-20,9:00 - 21:00,ポリタンク等の容器への提供,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121011,千葉県,千葉市 中央区,宮崎 2丁目5-22,"35.580659, 140.136824",2019-09-20 13:40:43,藤田 周
9,3,葛城公民館,千葉県 千葉市 中央区 葛城 2丁目9-2,開設,,2019-09-20,9:00 - 21:00,ポリタンク等の容器への提供,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121011,千葉県,千葉市 中央区,葛城 2丁目9-2,"35.599729, 140.130905",2019-09-20 13:40:43,藤田 周
10,4,星久喜公民館,千葉県 千葉市 中央区 星久喜町 615-7,開設,,2019-09-20,9:00 - 21:00,ポリタンク等の容器への提供,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121011,千葉県,千葉市 中央区,星久喜町 615-7,"35.597767, 140.151168",2019-09-20 13:40:43,藤田 周
11,5,川戸公民館,千葉県 千葉市 中央区 川戸町 403-1,開設,,2019-09-20,9:00 - 21:00,ポリタンク等の容器への提供,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121011,千葉県,千葉市 中央区,川戸町 403-1,"35.581943, 140.166916",2019-09-20 13:40:43,藤田 周
12,6,新宿公民館,千葉県 千葉市 中央区 新宿 2丁目16-14,開設,,2019-09-20,9:00 - 21:00,ポリタンク等の容器への提供,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121011,千葉県,千葉市 中央区,新宿 2丁目16-14,"35.606954, 140.113764",2019-09-20 13:40:43,藤田 周
13,7,末広公民館,千葉県 千葉市 中央区 末広 3丁目2-2,開設,,2019-09-20,9:00 - 21:00,ポリタンク等の容器への提供,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121011,千葉県,千葉市 中央区,末広 3丁目2-2,"35.594038, 140.125213",2019-09-20 13:40:43,藤田 周
14,8,松ヶ丘公民館,千葉県 千葉市 中央区 松ケ丘町 257-2,開設,,2019-09-20,9:00 - 21:00,ポリタンク等の容器への提供,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121011,千葉県,千葉市 中央区,松ケ丘町 257-2,"35.588197, 140.151857",2019-09-20 13:40:43,藤田 周
15,9,椿森公民館,千葉県 千葉市 中央区 椿森 6丁目1-11,開設,,2019-09-20,9:00 - 21:00,ポリタンク等の容器への提供,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121011,千葉県,千葉市 中央区,椿森 6丁目1-11,"35.620170, 140.123910",2019-09-20 13:40:43,藤田 周
60,10,千葉高架水槽,千葉県 千葉市 中央区 矢作町 670,不明,,,,,https://www.pref.chiba.lg.jp/suidou/keikaku/saitai/kyoten.html,121011,千葉県,千葉市 中央区,矢作町 670,"35.606311, 140.137751",2019-09-20 13:40:43,藤田 周
16,11,花見川区役所,千葉県 千葉市 花見川区 瑞穂 1-1,閉鎖,,,,,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121029,千葉県,千葉市 花見川区,瑞穂 1-1,"35.663080, 140.068856",2019-09-20 13:40:43,藤田 周
17,12,幕張公民館,千葉県 千葉市 花見川区 幕張町 4-602,閉鎖,,,,,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121029,千葉県,千葉市 花見川区,幕張町 4-602,"35.660323, 140.055386",2019-09-20 13:40:43,藤田 周
18,13,犢橋公民館,千葉県 千葉市 花見川区 犢橋町 162-1,閉鎖,,,,,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121029,千葉県,千葉市 花見川区,犢橋町 162-1,"35.666840, 140.113512",2019-09-20 13:40:43,藤田 周
19,14,検見川公民館,千葉県 千葉市 花見川区 検見川町 3丁目322-25,閉鎖,,,,,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121029,千葉県,千葉市 花見川区,検見川町 3丁目322-25,"35.649423, 140.067134",2019-09-20 13:40:43,藤田 周
20,15,花見川公民館,千葉県 千葉市 花見川区 柏井町 1590-8,閉鎖,,,,,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121029,千葉県,千葉市 花見川区,柏井町 1590-8,"35.695709, 140.099628",2019-09-20 13:40:43,藤田 周
21,16,さつきが丘公民館,千葉県 千葉市 花見川区 さつきが丘 1丁目32-4,閉鎖,,,,,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121029,千葉県,千葉市 花見川区,さつきが丘 1丁目32-4,"35.665161, 140.096904",2019-09-20 13:40:43,藤田 周
22,17,こてはし台公民館,千葉県 千葉市 花見川区 横戸町 861-4,閉鎖,,,,,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121029,千葉県,千葉市 花見川区,横戸町 861-4,"35.692953, 140.120929",2019-09-20 13:40:43,藤田 周
23,18,花園公民館,千葉県 千葉市 花見川区 花園 3丁目12-8,閉鎖,,,,,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121029,千葉県,千葉市 花見川区,花園 3丁目12-8,"35.657867, 140.069656",2019-09-20 13:40:43,藤田 周
24,19,長作公民館,千葉県 千葉市 花見川区 長作町 1722-1,閉鎖,,,,,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121029,千葉県,千葉市 花見川区,長作町 1722-1,"35.680411, 140.079026",2019-09-20 13:40:43,藤田 周
25,20,朝日ケ丘公民館,千葉県 千葉市 花見川区 朝日ケ丘 1丁目1-30,閉鎖,,,,,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121029,千葉県,千葉市 花見川区,朝日ケ丘 1丁目1-30,"35.655665, 140.089207",2019-09-20 13:40:43,藤田 周
55,21,柏井浄水場,千葉県 千葉市 花見川区 柏井町 430,不明,,,,,https://www.pref.chiba.lg.jp/suidou/keikaku/saitai/kyoten.html,121029,千葉県,千葉市 花見川区,柏井町 430,"35.690351, 140.115617",2019-09-20 13:40:43,藤田 周
26,22,稲毛区役所,千葉県 千葉市 稲毛区 穴川 4丁目12-1,閉鎖,,,,,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121037,千葉県,千葉市 稲毛区,穴川 4丁目12-1,"35.636336, 140.107232",2019-09-20 13:40:43,藤田 周
27,23,千草台公民館,千葉県 千葉市 稲毛区 天台 3丁目16-5,閉鎖,,,,,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121037,千葉県,千葉市 稲毛区,天台 3丁目16-5,"35.633835, 140.116851",2019-09-20 13:40:43,藤田 周
28,24,都賀公民館,千葉県 千葉市 稲毛区 作草部 2丁目8-53,閉鎖,,,,,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121037,千葉県,千葉市 稲毛区,作草部 2丁目8-53,"35.625542, 140.117705",2019-09-20 13:40:43,藤田 周
29,25,緑が丘公民館,千葉県 千葉市 稲毛区 宮野木町 1807-3,閉鎖,,,,,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121037,千葉県,千葉市 稲毛区,宮野木町 1807-3,"35.657886, 140.107276",2019-09-20 13:40:43,藤田 周
30,26,黒砂公民館,千葉県 千葉市 稲毛区 黒砂 2丁目4-18,閉鎖,,,,,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121037,千葉県,千葉市 稲毛区,黒砂 2丁目4-18,"35.626506, 140.093981",2019-09-20 13:40:43,藤田 周
31,27,轟公民館,千葉県 千葉市 稲毛区 轟町 1丁目12-3,閉鎖,,,,,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121037,千葉県,千葉市 稲毛区,轟町 1丁目12-3,"35.624721, 140.109674",2019-09-20 13:40:43,藤田 周
32,28,稲毛公民館,千葉県 千葉市 稲毛区 稲毛 1丁目10-17,閉鎖,,,,,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121037,千葉県,千葉市 稲毛区,稲毛 1丁目10-17,"35.636587, 140.083315",2019-09-20 13:40:43,藤田 周
33,29,草野公民館,千葉県 千葉市 稲毛区 園生町 384-93,閉鎖,,,,,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121037,千葉県,千葉市 稲毛区,園生町 384-93,"35.654204, 140.119812",2019-09-20 13:40:43,藤田 周
34,30,山王公民館,千葉県 千葉市 稲毛区 六方町 55-29,閉鎖,,,,,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121037,千葉県,千葉市 稲毛区,六方町 55-29,"35.657561, 140.145546",2019-09-20 13:40:43,藤田 周
57,31,園生給水場,千葉県 千葉市 稲毛区 園生町 253,不明,,,,,https://www.pref.chiba.lg.jp/suidou/keikaku/saitai/kyoten.html,121037,千葉県,千葉市 稲毛区,園生町 253,"35.651819, 140.105964",2019-09-20 13:40:43,藤田 周
1,32,泉市民センター,千葉県 千葉市 若葉区 高根台 963-4,閉鎖,,,,,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121045,千葉県,千葉市 若葉区,高根台 963-4,"35.594164, 140.220577",2019-09-20 13:40:43,藤田 周
2,33,千城小学校,千葉県 千葉市 若葉区 大宮町 2655,閉鎖,,,,,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121045,千葉県,千葉市 若葉区,大宮町 2655,"35.600066, 140.168658",2019-09-20 13:40:43,藤田 周
3,34,更科小学校富田分校,千葉県 千葉市 若葉区 富田町 83,閉鎖,,,,,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121045,千葉県,千葉市 若葉区,富田町 83,"35.600255, 140.237693",2019-09-20 13:40:43,藤田 周
4,35,本郷自治会館,千葉県 千葉市 若葉区 中野町 798,閉鎖,,,,,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121045,千葉県,千葉市 若葉区,中野町 798,"35.577606, 140.266697",2019-09-20 13:40:43,藤田 周
35,36,若葉区役所,千葉県 千葉市 若葉区 桜木北 2丁目1-1,開設,,2019-09-20,24時間,ポリタンク等の容器への提供、ペットボトル配布,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121045,千葉県,千葉市 若葉区,桜木北 2丁目1-1,"35.634121, 140.155653",2019-09-20 13:40:43,藤田 周
36,37,若松公民館,千葉県 千葉市 若葉区 若松町 2117-2,開設,,2019-09-20,24時間,ポリタンク等の容器への提供、ペットボトル配布,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121045,千葉県,千葉市 若葉区,若松町 2117-2,"35.635123, 140.167543",2019-09-20 13:40:43,藤田 周
37,38,千城台公民館,千葉県 千葉市 若葉区 千城台西 2丁目1-1,開設,,2019-09-20,24時間,ポリタンク等の容器への提供、ペットボトル配布,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121045,千葉県,千葉市 若葉区,千城台西 2丁目1-1,"35.622252, 140.187013",2019-09-20 13:40:43,藤田 周
38,39,加曽利公民館,千葉県 千葉市 若葉区 加曽利町 892-6,開設,,2019-09-20,9:00 - 21:00,ポリタンク等の容器への提供、ペットボトル配布,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121045,千葉県,千葉市 若葉区,加曽利町 892-6,"35.612170, 140.152053",2019-09-20 13:40:43,藤田 周
39,40,みつわ台公民館,千葉県 千葉市 若葉区 みつわ台 3丁目12-17,開設,,2019-09-20,9:00 - 21:00,ポリタンク等の容器への提供、ペットボトル配布,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121045,千葉県,千葉市 若葉区,みつわ台 3丁目12-17,"35.639273, 140.135506",2019-09-20 13:40:43,藤田 周
40,41,桜木公民館,千葉県 千葉市 若葉区 桜木 3丁目17-29,開設,,2019-09-20,9:00 - 21:00,ポリタンク等の容器への提供、ペットボトル配布,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121045,千葉県,千葉市 若葉区,桜木 3丁目17-29,"35.622825, 140.160315",2019-09-20 13:40:43,藤田 周
41,42,更科公民館,千葉県 千葉市 若葉区 更科町 2254-1,開設,,2019-09-20,9:00 - 21:00,ポリタンク等の容器への提供、ペットボトル配布,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121045,千葉県,千葉市 若葉区,更科町 2254-1,"35.617827, 140.227772",2019-09-20 13:40:43,藤田 周
42,43,白井公民館,千葉県 千葉市 若葉区 野呂町 622-10,開設,,2019-09-20,9:00 - 21:00,ポリタンク等の容器への提供、ペットボトル配布,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121045,千葉県,千葉市 若葉区,野呂町 622-10,"35.583962, 140.230246",2019-09-20 13:40:43,藤田 周
43,44,大宮公民館,千葉県 千葉市 若葉区 大宮町 3221-2,開設,,2019-09-20,9:00 - 21:00,ポリタンク等の容器への提供、ペットボトル配布,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121045,千葉県,千葉市 若葉区,大宮町 3221-2,"35.596627, 140.181030",2019-09-20 13:40:43,藤田 周
44,45,高根給水場,千葉県 千葉市 若葉区 高根町 881-70,閉鎖,,,,,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121045,千葉県,千葉市 若葉区,高根町 881-70,"35.600580, 140.212053",2019-09-20 13:40:43,藤田 周
59,46,大宮分場,千葉県 千葉市 若葉区 大宮町 2114,不明,,,,,https://www.pref.chiba.lg.jp/suidou/keikaku/saitai/kyoten.html,121045,千葉県,千葉市 若葉区,大宮町 2114,"35.584192, 140.179452",2019-09-20 13:40:43,藤田 周
5,47,ほんだくらぶ（福祉施設）,千葉県 千葉市 緑区 高根町 964-49,閉鎖,,,,,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121053,千葉県,千葉市 緑区,高根町 964-49,"35.594268, 140.219017",2019-09-20 13:40:43,藤田 周
6,48,平川集会所,千葉県 千葉市 緑区 平川町 71,閉鎖,,,,,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121053,千葉県,千葉市 緑区,平川町 71,"35.559564, 140.247206",2019-09-20 13:40:43,藤田 周
45,49,緑区役所,千葉県 千葉市 緑区 おゆみ野 3丁目15-3,開設,,2019-09-20,24時間,ポリタンク等の容器への提供、ペットボトル配布,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121053,千葉県,千葉市 緑区,おゆみ野 3丁目15-3,"35.560527, 140.176153",2019-09-20 13:40:43,藤田 周
46,50,誉田公民館,千葉県 千葉市 緑区 誉田町 1丁目789-49,開設,,2019-09-20,24時間,ポリタンク等の容器への提供、ペットボトル配布,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121053,千葉県,千葉市 緑区,誉田町 1丁目789-49,"35.549936, 140.203223",2019-09-20 13:40:43,藤田 周
47,51,椎名公民館,千葉県 千葉市 緑区 富岡町 290-1,開設,,2019-09-20,24時間,ポリタンク等の容器への提供、ペットボトル配布,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121053,千葉県,千葉市 緑区,富岡町 290-1,"35.543783, 140.163852",2019-09-20 13:40:43,藤田 周
48,52,土気公民館,千葉県 千葉市 緑区 土気町 1631-7,開設,,2019-09-20,24時間,ポリタンク等の容器への提供、ペットボトル配布,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121053,千葉県,千葉市 緑区,土気町 1631-7,"35.530833, 140.273701",2019-09-20 13:40:43,藤田 周
49,53,越智公民館,千葉県 千葉市 緑区 越智町 822-7,開設,,2019-09-20,9:00 - 21:00,ポリタンク等の容器への提供、ペットボトル配布,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121053,千葉県,千葉市 緑区,越智町 822-7,"35.534945, 140.236381",2019-09-20 13:40:43,藤田 周
50,54,おゆみ野公民館,千葉県 千葉市 緑区 おゆみ野中央 2丁目7-6,開設,,2019-09-20,9:00 - 21:00,ポリタンク等の容器への提供、ペットボトル配布,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121053,千葉県,千葉市 緑区,おゆみ野中央 2丁目7-6,"35.556207, 140.164214",2019-09-20 13:40:43,藤田 周
51,55,鎌取コミュニティセンター,千葉県 千葉市 緑区 おゆみ野 3丁目15-2,開設,,2019-09-20,9:00 - 21:00,ポリタンク等の容器への提供,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121053,千葉県,千葉市 緑区,おゆみ野 3丁目15-2,"35.560087, 140.175647",2019-09-20 13:40:43,藤田 周
52,56,土気あすみが丘プラザ,千葉県 千葉市 緑区 あすみが丘 7丁目2-4,開設,,2019-09-20,9:00 - 21:00,ポリタンク等の容器への提供,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121053,千葉県,千葉市 緑区,あすみが丘 7丁目2-4,"35.521317, 140.265316",2019-09-20 13:40:43,藤田 周
53,57,平川浄水場,千葉県 千葉市 緑区 平川町 2210,開設,,2019-09-20,9:00 - 17:00,ポリタンク等の容器への提供,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121053,千葉県,千葉市 緑区,平川町 2210,"35.543963, 140.240481",2019-09-20 13:40:43,藤田 周
54,58,下大和田集会所,千葉県 千葉市 緑区 下大和田町 863,閉鎖,,,,,https://www.city.chiba.jp/suido/r01_oukyukyuusui.html,121053,千葉県,千葉市 緑区,下大和田町 863,"35.560865, 140.271461",2019-09-20 13:40:43,藤田 周
58,59,誉田給水場,千葉県 千葉市 緑区 おゆみ野 6-33-1,不明,,,,,https://www.pref.chiba.lg.jp/suidou/keikaku/saitai/kyoten.html,121053,千葉県,千葉市 緑区,おゆみ野 6-33-1,"35.549206, 140.192222",2019-09-20 13:40:43,藤田 周
