#1,#2,名称,所在地,ステータス,マッピングに関する特記事項,日付,開設時間,給水に関する特記事項,出典,市町村コード,都道府県,市区町村,市区町村以下,緯度・経度,出典最終確認日時,出典確認担当者
1,1,西瀬小学校,熊本県 人吉市 下戸越町 1654-1,閉鎖,,2020-07-05,,,https://www.city.hitoyoshi.lg.jp/q/aview/173/13485.html,43203,熊本県,人吉市,下戸越町 1654-1,"32.206441, 130.736587",2020-07-13 1:26:30,藤田 周
2,2,下戸越公民館前,熊本県 人吉市 下戸越町,閉鎖,「下戸越町公民館」にマッピング,2020-07-05,,,https://www.city.hitoyoshi.lg.jp/q/aview/173/13485.html,43203,熊本県,人吉市,下戸越町,"32.204593, 130.729336",2020-07-13 1:26:30,藤田 周
3,3,西瀬団地,熊本県 人吉市 下戸越町,閉鎖,「西瀬団地」中心部にマッピング,2020-07-05,,,https://www.city.hitoyoshi.lg.jp/q/aview/173/13485.html,43203,熊本県,人吉市,下戸越町,"32.206710, 130.734635",2020-07-13 1:26:30,藤田 周
4,4,板持バス停前,熊本県 八代市 坂本町田上,開設,,2020-07-12,24時間,給水タンクを設置,http://www.city.yatsushiro.lg.jp/kiji00312882/index.html,43202,熊本県,八代市,坂本町田上,"32.400787, 130.610820",2020-07-13 1:26:30,藤田 周
5,5,女原バス停前,熊本県 八代市 坂本町田上,開設,,2020-07-12,24時間,給水タンクを設置,http://www.city.yatsushiro.lg.jp/kiji00312882/index.html,43202,熊本県,八代市,坂本町田上,"32.411882, 130.630630",2020-07-13 1:26:30,藤田 周
9,9,中畑公民館,熊本県 八代市 ,開設,場所不明,2020-07-12,24時間,給水タンクを設置,http://www.city.yatsushiro.lg.jp/kiji00312882/index.html,43202,熊本県,八代市,,,2020-07-13 1:26:30,藤田 周
7,7,破木地区公民館,熊本県 八代市 坂本町川嶽343,開設,,2020-07-12,未定,,http://www.city.yatsushiro.lg.jp/kiji00312882/index.html,43202,熊本県,八代市,坂本町川嶽343,"32.414550, 130.637222",2020-07-13 1:26:30,藤田 周
6,6,JAやつしろ坂本支所,熊本県 八代市 坂本町田上 1380,開設,「JAやつしろ坂本町支所」にマッピング,2020-07-12,10:00 - 17:00,,http://www.city.yatsushiro.lg.jp/kiji00312882/index.html,43202,熊本県,八代市,坂本町田上 1380,"32.405859, 130.624101",2020-07-13 1:26:30,藤田 周
8,8,特別養護老人ホーム 一灯苑,熊本県 八代市 坂本町坂本 1071,開設,,2020-07-12,"10:00 - 12:00, 15:00 - 17:00",,http://www.city.yatsushiro.lg.jp/kiji00312882/index.html,43202,熊本県,八代市,坂本町坂本 1071,"32.441165, 130.669412",2020-07-13 1:26:30,藤田 周
10,10,小崎地区 青少年センター前,熊本県 八代市 坂本町中谷い 1270,開設,「さかもと青少年センター」にマッピング,2020-07-12,13:00 - 15:00,,http://www.city.yatsushiro.lg.jp/kiji00312882/index.html,43202,熊本県,八代市,坂本町中谷い 1270,"32.443552, 130.669243",2020-07-13 1:26:30,藤田 周
